star_score,review
1,레이첼 맥아덤스의 러블리한 미소가 하루종일 맴돌아요. 노아와 앨리의 사랑 정말 아름다웠어요. 그치만 앨리의 미성숙한 행동이 내 정서에서는 조금 아쉬웠던... 
2,관람객그냥 무조건한 세번봐야함 
2,관람객첫사랑은 잊을 수 없는 사랑인걸까...우리는 왜 첫사랑을 잊지못하는가를 알려주는 영화 
2,사랑합니다. 아마도 평생 기억에 남을 영화. 생애 최고의  영화로 꼽아도 손색이 없을 영화. 이런 영화를 왜 지금에야 접하게 되었는지 자괴감에 빠뜨리게 할 정도로 매력을 가지고 있는 영화. 강추합니다. 
0,영화는 재밌는데 생각해보면 그닥 좋은 주제는 아닌것같다. 첫사랑을 찾아 가는게 왜 안좋냐고 생각할 수 있겠지만 나는 여자의 책임감 없는 행동에 경악스러웠다. 결코 아름답게만 볼 수 없는 영화이다. 
2,관람객제가 제일 좋아하는 영화입니다. 영화관에서 보게되어 기뻐요ㅠㅠ 
2,이보다 더 진한 로맨스는 없다. 
0,한 여자만을 사랑했다면서 외롭단 핑계로 섹스파트너는 당당히 소유한 노아. 한 남자와 헤어진후 또다른 사랑하는 약혼자가 생기고 노아가 돌아오자 약혼자가 있음에도 발정나서 과거남자와 다시 즐기는 앨리. 양다리걸치며 즐긴...
0,약혼남이 주인공이었다면 어떤 반응들이 나왔을지 궁금하다. 여자의 마음은 갈대라고 하지만 앨리의 마음은 갈대가 아니라 하늘을 나는 비닐봉다리를 연상시킨다. 흔들리는것도 유분수지. 어장관리도 아니고말이야.. 
0,불륜미화쩌네요 노아는 앨리만바라본다면서 다른미망인과 원나잇하고 앨리는 약혼남도있으면서 노아못잊었다고 웨딩드레스도 맞춘마당에 약혼남에게 연락도잘안하고 노아랑 실컷사랑했죠 이게어떻게 감동실화러브스토리? 겁나약혼남만불쌍하...
2,관람객남자친구가 너무 울어서 귀여웠어요 
0,이 영화가 왜 높은 평점을 유지하는지 모르겠다. 미망인과 약혼자의 입장은 고려하지않은 둘 만의 이기적인 사랑을 아름답게 포장한 영화 아닌가? 누군가에겐 행복이지만 남겨진 또 다른 누군가에겐 비극이다. 높은평점보고 감...
0,그저 그녀가 너무 사랑스럽다. 그렇지만 그게 다인 영화. 이기적이고도 또 이기적인 사랑의 모습이 추악했다.(물론 주인공 지들끼리야 세기의 사랑이지. 근데 약혼남은 무슨 죄냐) 명작중의 대명작이라고?? 서운할 소리 하...
2,지킨다는 것은 쉽사리 할 수 있는게 아니다. 이런거겠지.. 
2,관람객다시봐도 굿!!!나도 이런사랑 해봤으면... 
0,졸작 중 졸작이다. 노아란 샛기는 앨리만 본다면서 미망인을 가지고 놀았고 앨리는 7년간 자길 위해 모든걸 받친 잘나디 잘난 남자를 끝에 가서 모든걸 알고 용서해준 남자를 매몰차게 끝내네. 이게 진정한 사랑? 완전 지...
0,"약혼남, 미망인만 불쌍해지는 불륜미화 영화 "
0,관람객론의 입장에서 생각하게된다 
0,솔직히 9점대의 영화는 아니다.. 
1,약혼자 정말 매력있다.. 
0,내가 남들과 다르다는걸 여실히 알게되었다. 
0,쓰레기 불륜영화. 불륜의 합리화가 대단하네요. 당한 약혼남과 미망인은 피눈물을 흘리겠습니다. 
0,"1점 주기도 아깝다 정신이 성숙치 못해 옛감정에 흔들려 약혼 파기한 영화, 이기적이고 책임감 없는 사랑과 결혼, 본인들만 아름다운 스토리 "
1,이게 슬퍼? 이 정도가 재밌는건가?? 
2,"관람객옛날 영화가 재상영되었다고 하는데, 너무 감동적이었습니다 :) 썸이 난무하는 요즘, 예전과 같은.. 이런 절절한 사랑이 있을까 하는 생각이 들었습니다. "
0,불륜미화 쓰레기같은영화 인생영화로 뽑는사람들은 지 애인이 첫사랑 찾아간다고 하면 멋지다고 박수쳐주길 
0,노년의 사랑은 좀 인상적이었는데 젊은날의 둘의 모습은 로맨틱 하지도 감동적이지도 않음. 
0,아 감동적이다 하고 봤는데 생각해보니 정말 쓰레기 영화ㅋ 약혼남하고 미망인만 OO된거지 
2,처음에 앨리가 너무 아깝다고 생각했는데 노아의 순애보가로 더 마음이 갔다. ㅠ론과 노아 둘 사이에서 갈등하는 앨리가 너무 미웠지만 고민할 수 밖에 없는 그 심정이 이해가 가서 더 안타까웠다. 어쩌다 치매에 걸렸는지 ...
0,아직 저렇게 미친듯이 사랑을 못해봐서 그런가...돈이 아깝다는생각이든다. 너무 이기적인거 같다 여주가.. 둘다 사랑하는데 남주를 더 사랑한다는건가..아무리 그래도 떠나기로 맘먹은 와중에 거짓말과 사랑한다는 말을 뱉다...
0,지도 미망인이랑 재미는 다 봐놓고 앨리가 지 선택 안 한다고 돈 때문이냐며 후려치는 영화. 지도 섹파끼고 논 건 생각 못하고 앨리한테 왜 지랑 잤냐고 빼액. 벤츠 약혼자랑 미망인이 제일 불쌍한 영화. 현실이면 정신 ...
0,왜 유명한지도 모르겠고 어디가 감동 포인트가 어디인지도 모르겠는 영화 
2,세상 모든 연인/부부 들이 봐야할 영화 인것 같습니다. 정말 옆에 있는 사람이 너무 소중해 지는... 
2,9년만에 다시 봤지만 여전히 아름다운 사랑이다 나도 그들처럼 늙고싶다 
0,속았다 ㅡㅡ대체 어디가 어느부분이 아름답고 감동적이고 재미있다는걸까?  진짜 내가 고장난건지 슬퍼지네 ㅡㅡ 
2,관람객하나 하나 명장면과 명대사로 가득한 깊은 곳 까지 여운을 남기고 끝나버린 사랑스러운 영화. 
1,이게 9점이라니... 
0,뭔가 맘에 안드는 구석이 많은 영화. 요즘 나왔으면 뭇매를 맞았을만한 스토리가 아니었을지 
0,영화가 너무 극단적이네요 
2,관람객레이첼맥아담스는 언제봐도 사랑스러워 
0,앨리가 진짜 노답임;; 
0,불륜미화영화 진짜 보기 싫다.. 
0,이 쓰레기같은 영화가 인기가 좋다는게 충격이다 
0,역겨운 영화다. 결혼 직전에 내 여자의 전남친이 나타나서 데려가 버리면 미쳐버릴 듯. 진짜 여자들 역겹네요. 이게 아름다워요? 입장 바꿔서 생각해봐요. 님네 예비신랑 전여친이 갑자기 나타나서 델꼬간다 생각해봐요. 아...
2,관람객보고나서 바로 다시보고싶은 영화 
2,"관람객다시봐도 여운이 많이 남는, 남주의 대사, 여주의 표정이 좋은 로맨스 영화 "
2,관람객젊은날의순수한사랑이 긴인생의 힘으로 나타나는영화 
2,관람객학생때봤을땐 그 둘만의사랑만보였지만이젠 그외의 상처받는사람들까지 보이네요그래도 정말좋은 영화! 
2,관람객지금까지 본 영화중에 최고로 감동적인영화. 그리고 아쉬울 장면이 없는 영화. 다시 꼭 사랑하는 사람이랑 보고싶은 영화 
2,관람객세번째보는 영화임에도 감동은 여전했고 물질주의에 빠진 이시대에 사는 우리가 잃은 많은것들에 대한 향수를 불러일으키는  시간이었음 
0,재미는 있는데 여운보다는 찝찝함이 남는영화 
2,관람객레이첼 맥아담스 핵존예 
2,"관람객영화 같은 결말, 현실은 다르다 "
2,관람객영화속 주인공들이 부럽네요 
1,휴... 약혼남이 너무 불쌍함. 
2,관람객눈물흘리고왓어요 로맨스로는 최고! 
0,눈물흘리고싶어 봤지만... .그러나 도대체 어디가 슬픈가요? .. 
0,진짜 이건 9점대 영화는 아니다 아니 무슨 그냥 이건 쓰레기 불륜 영화지 솔직히 약혼자 뻔히 있고 결혼 준비까지 하고 있는데  다른남자한테 안기기나 하고... 이게 무슨 명작이냐;;;망작이지 
2,관람객최고의 명작입니다. 영화가 너무 아릅답고 보는 내내 마음이 뭉클했습니다. 감정선이 너무 예쁜 영화입니다. 
2,관람객절절한 사랑 이야기 평생 한 사람만 사랑한다는 건 참 대단하면서 아름답고 멋지다! 
2,관람객지고지순의 끝 이런 사랑이 정말로 있다면 좋겠다 
2,관람객가을에 딱 어울리는 영화다. 감미롭고 감성이 풍부해지는 느낌이랄까... 
0,아니 이 영화가 왜 이리 유명한지 알수가 없다.보고나서 정말 화가 난다.대단할거 없는 러브스토리에 이기적인 주인공.실망가득한 영화. 
2,ㅠ ㅠ 봐도봐도 끝장면에선 눈물이나는이유는 멀까 ... 
0,내용 뻔하고 억지감동 개지루함 
1,영화자체는 좋았지만 이런 사랑은 이해할수없다. 약혼자는 진정한 사랑이 아니었던건가? 전쟁에서 만났고 사랑했고 결혼까지 하게되는 과정에서 첫사랑과 비교해 뭐가 부족한지 알수가없다. 어째서 현재의 사랑은 버려도 되고 과...
2,관람객라면먹고갈래...들에게는보여주기싫은영화 
1,"마지막 장면은 슬프고 감동적이지만, 이게 아름다운 사랑인지는 공감을 못하겠다. 본인이 약혼남의 입장이었더라도 저들은 아름다운 사랑이었네라고 말할수있을까. "
0,이건 그냥 쓰레기 불륜영화일뿐 
2,관람객레이첼맥아담스가 너무 사랑스럽게 연기를 잘했다. 다시봐도 감동적이다 
1,양다리 걸치는 설정을 구지 넣었어야 했냐?? 
0,"평점높고, 감동실화라길래 기대했는데...뭐 두 남녀가 서로 엇갈렸다가 결국에 다시만나 잘 살게 되는 내용인데 그 과정들에서 딱히 감동을 느끼진 못했다. 다시만나게 되는 과정이 험난한 것 같지도 않았고 또 간절히 바래..."
0,주인공이 하면 로맨스 현실에선 불륜. 설마..하면 이루어지는 예상되는 스토리..  앨리의 약혼남 론과 노아와 함께하던 미망인만 불쌍하다 1점도 아까운 영화. 비윤리적인 장면에 깔린 아름다웅 BGM이 우스웠다. 
2,관람객재개봉은 이유가 있어서 합니다. 
0,"최고의 순정남인 척 세기의 사랑인 척 미망인, 약혼남 인생 망치고 내로남불 오지는 영화 "
0,개연성과 현실감이 부족한 영화였음. 
0,기대가 너무 컸나..내용이 너무 더러웠다..보고나서도 찝찝한 영화 
2,관람객오랜만에 스크린으로 보니 정말 즐거웠습니다ㅎㅎ재밌었어요 
0,내로남불. 주인공에게만 감정이입하면 10점짜리지만 조연에 감정이입하면 1점도 아까운 영화. 
2,레이첼 맥아담스 쵝오♥ 
0,바람을 미화하는 영화 여자가 못됬음 남자가 무슨죄임 불쌍함 여자 바람둥이최악 
2,관람객다시 봐도 멋진 노아 그리고 사랑스러운 앨리 
0,오랫만에 정말 OOO기같은 영화보네요 ㅎㅎ 불륜 미화 하는것도 너무 싫었고 약혼남만 너무 불쌍한 영화에요.. 앨리는 그냥 나쁜년 이고요. 이거보고 멘탈 산산조각 났습니다 . 안보신 분들은 앞으로도 안보는걸 추천드려요...
2,이 새벽에 엄청 울었네요. 영원한 사랑은 뱀파이어 같은 게 아니죠.. 이런거죠... 
2,관람객어느 누군가에겐 명작이라해서 추천받아 재개봉으로 본것인데 한편으론 부러우면서 약혼자입장서 보면 속터지는 영화ㅠㅜ 
2,관람객집에서 Tv로 보고 감동적이어서 집사람과 극장에서 다시 보앗네요.눈물이 주룩  ...로멘스 영화를 좋아하시면 강추 
0,돌겄구만..평점 8을 넘기다니..0점을 줄 수 없어 1점이라도 준다. 
2,이영화를 오래전에 알았지만 보는걸 미뤘는데 이 영화를 처음 알게 되었을때 봤더라면 그 사람을 놓치진 읺았을꺼다 내 인생이 달라졌을텐데 . 행복에 겨웠을텐데.. 너무 마음이 아팠다 이런 사랑을 해본 사람이라면 애잔한 ...
2,사랑해요.노아.... 
0,사람들은 눈물 흘렷다는데 저는왜 하나도 안슬플까요? 
2,관람객이걸 왜 이제야봤는가. 
0,"아름다운 이야기를 기대했는데, 과거의 사랑을 현재까지 끌고 오는 나쁜 행동에 모자라 결국 현재의 사람과 결혼해버린 별로 감동적이지 못한 이야기. "
0,이런거 다시보느니  러브액츄얼리 다시보겠다 
0,음.. 이런거 별로임... 
0,요근래 본 중에 최악.눈물 많은 내가 울 생각도 안했는데 뭐가 눈물이 난다는건지...계속 지겨움을 참느라 혼났다.차라리 한국 드라마가 더 굿 
1,첫사랑을 못잊은 사람에겐 명작. 애인이 바람핀 사람에게는 망작. 
2,관람객너무 슬퍼서 여자친구 옆에서 울뻔했어요.. 
2,나도 저런 사랑을 할 수 있을까? 사랑을 해본사람은 혹은 첫사랑에 상처받은 사람은 그 사랑의 애절함을 안다. 
2,레이첼 맥아담스 너어어어어무 예쁘다. 
0, 어떤 결말이든 누군가는 상처를 받았겠지만 노아랑 앨리 둘다 남 생각없이 너무 자기들 감정만을 밀어부쳐서 나에겐 좀 불편한 영화. 내가 30대 주부고 그냥 내가 너무 감성없는 사람이라 그런가봄. 
2,관람객볼때마다 새로운 영화언제봐도 아름다운 사랑이야기 
2,I wanna be with you~~ 
2,보고 또 봐도 나도 노아같은 남자 만나고싶다 일편단심 나만 봐주는 
1,깊어질수록 무뎌져가는 이해 못할 로맨스 
2,관람객어떻게 보면 불륜미화영화라고 볼 수 있지만 재밌게 봤음 
0,솔직히 추천 받아서 본 영화 중 가장 실망이네여...그닥 아름다운 사랑이야기는 아닌듯 합니다.. 
1,관람객레이첼 맥아담스가 너무 이뻤다. 
2,앨리의 약혼남과 노아의 섹스파트너만 없었다면 정말 이보다 아름다운 사랑은 없을 '뻔'했다 
2,관람객너무좋아요 진짜 사랑하고싶어졌어요 
1,최소한 자가 소유의 집은 있어야... 
2,"관람객초반에는 연애하고 싶고, 후반에는 사랑하고 싶은 영화 "
0,이딴게 사랑이면 사랑은 참 역겨운 감정이다. 
0,케이블에서 기대하고 봤는데...부제가 ...전세계를 울린 감동실화란다..ㅋ 총기가 허용된 나라에서 내가 만약 약혼자 남자입장이라면 쌍권총으로 벌집을 만들어 놓는다... 
0,슬프다고해서 봤는데 슬프기는 커녕 스토리 뻔하고 에휴 
2,관람객소개 받은 여자와 두번째 만남때 보게되었습니다 중학생때 한번 보고 두번째로 봤는데 역시 최고 그리고 저는 여자친구가 생겼습니다 
2,정말 이런 사랑해보고 싶네요♥ 
0,하도명작이라고해서봤는데 진부하고 재미없는 사랑타령 
0,"추잡하고 더러운 영화, 말년에 벌받은듯 "
2,관람객언제 봐도 좋은 영화... 
2,관람객앨리 약혼남 불쌍...여주 얼굴 보는 맛이있고딱 잔잔하게 차분하게 볼 수 있었어요음 저는 여주 어머니가 인상깊네요나도 이런 사랑 하고싶다 
0,지금 교제하고 있는 상대방이 아름다운 사랑찾아 간다면서 다른사람한테 떠나가봐야 이 영화가 얼마나 편협한 쓰레기영화였는지 알게될 듯. 상대가 상처를 받건 말건 사랑이란 말로 모든걸 정당화 시키려는 쓰레기들 
1,약혼남은 얼마나 빡칠까? 
2,관람객그냥 인생영화....죽을때까지 평생 소장하고싶은영화 
2,관람객너랑 봐서 좋았고 너무나 행복했어 
0,한여자의 이기심과 자기 합리화 두 남자의 인생을 망칠 수 있다는 명작.영화자체는 재밌고 볼만하다고 할 수 있겠지만 아무리 봐도 여자가 XXX임.그냥 존나게 이기적이고 지기분따라 행동ㅎ고 뒷책임은 다 떠맡기려하고 지려...
2,그 사람이 보고 싶어지는 영화 
0,기대했는데.. 뻔한 스토리에 약간 현실적이지도 않은 느낌. 7년이나 지났고 잠깐 여름되기전 한철 사랑한 사람을 현재의 약혼자를 버리면서까지 다시 사랑할수 있을지 
2,볼때마다 울어요 
2,관람객그렇게 치고 박고 싸우면서도 그럼에도 사랑한다고 그래도 사랑할 거라고 말하는 남자 주인공의 말에 이런게 사랑이구나 라고 느꼈다. 
2,관람객ㅠ언제봐도 좋다 다음 대사를 다 알지만 어김없이 같은 타이밍에 눈물이 쏟아진다 
2,새벽에 혼자 보면서 영화보다 이렇게 오열한적 처음 
0,이 영화의 결말은 약혼남이 조용히 서랍 속의 샷건을 꺼내 여주와 남주의 머리를 수박마냥 터뜨려버렸어야 했다. 
2,"“내 사랑 노아에게, 이걸 읽어주면 당신에게 돌아갈게” "
0,여주인공이 정말 매력적인 영화지만 꼭 바람을 미화시켜야하는걸까...아니고서도 충분히 아름다울 수 있었는데 아쉽다. 난 왜 이 영화가 별로지 내가 특이한 정서를 가졌나 불안해할 필요없다. 그런 사람 또 있으니까 
0,이 영화에 공감하는 사람들에게 '45년 후' 라는 영화 보고도 공감할 수 있는지 묻고싶다. 본인 감정에만 충실하는게 상대에겐 엄청난 상처가 될 수 있다는 것은 모르는가 
0,"관점의 차이, 약혼자랑 마사쇼는 뭐냐 "
0,마음도 없으면서 자기 좋아하는 여자 갖고 놀고 임자있는 사람 꼬시는 남주와 약혼남 뒤통수때리고 전남친 만나서 바람피는 여주 ㅋ 이런 OOO기같은 영화가 대체 어디가 감동이고 명작이고 그런거죠? 주인공들 바람피는게 찐...
0,"20살의 나라면 10점을 줬겠지만, 30살이 가까워진 다음 보니 불륜을 합리화 하는 영화로 밖에 안보임... 약혼남은 도데체 뭐가 되는 거지? 그리고 결혼 바로 앞에 둔 신부를 꼬시는 남자는 뭐고? "
1,"""감성만있고 이성없는 철없는여자"" 를 말하는건가요? 이영화에서 찾을수있는건 사랑을 어떻게하라는것같은데. 그 어떻게가 눈에 들어오기도전에 눈이 뒤집어지네요. 어째 공감하나 되지않던 , 결국 마음속에 답답..."
2,관람객안보았음후회될뻔한 영화돈이 아깝지않다는 생각 
2,관람객남자친구랄 꼭 보고싶은 영화여서 보고왔는데 진짜 너무 이쁜 사랑이예요ㅠㅠㅠ 엄청 울고왔네요 짱 재밌어요!!! 
0,불륜 미화 개오졌다;;; 이딴게 평점이 9점대인게 이해가 안감 
0,이게 아름다운 사랑이라는 사람은 꼭 미망인이나 약혼자와 같은 인생을 살길바랍니다!!ㅎㅎ 
0,걍 첫장면만봐도 결말까지 다예상됨 엘리 발정나서 이놈저놈 다건들고 다니고. 이딴걸 왜 재개봉하는지 
0,첫사랑에 미쳐서 약혼한 남자를 버려? 불륜영화지 이게 뭐냐 
0,보는내내 어이없었다ㅋ볼륜미화 
0,돈도 없고 뭣도 없는 폭력적인 성격파탄자가 예쁘고 돈 많은 여주랑 결혼하고 싶어서 OO발광 협박해대는 영화. 순정이라고 포장 잘 했지만 사실 돈 없는 남자의 약혼남에 대한 열등감 ㅋㅋ 돈 많은 남자를 두고도 나를 선...
1,내가 하면 로맨스 남이 하면 불륜을 잘 미화한 영화.. 영화는 잘 만들었다. 
2,관람객눈물나가지고 참아가면서 봤는데 끝날때쯤엔 영화관에 있는 사람들 다 훌쩍거리면서 봤네요ㅋㅋㅠㅠ 스토리에 아주 특별할 건 없는 고전적인 로맨스지만 수많은 뻔한 로맨스 중에서도 최고.. 
1,글쎄....과대평가 된 영화인듯.. 전체적으로 다른 유명한로맨스영화보다 별론데..저게 진짜 사랑인가..ㅠㅠ 그렇게 지들 사랑이 대단한거면 여자는 약혼하지 말았어야하고 남자는 다른여자 만나지말았어야함. 
2,엇갈리는 상황속에서도 계속 생각나는사람... 한번사는인생 이렇게 사랑해봐야하지 않나 라고 가르쳐주는것같은 영화다.. 앨리엄마의 눈물의 고백장면도 마음에 와닿았다. 제일 여운깊은 마지막장면은 뭐.. 짧게 말하기 힘들다...
0,최악. 내로남불의 정석. 사랑과 전쟁인 줄 .. 미망인과 약혼남만 불쌍하다 
0,여잔데 이영화보면서 앨리가 참 노답이라생각했다. 정신차려 그거 바람이야 ㅋ 관계정리 똑바로하고살아라제발 
0,앨리 나쁜년 OO 어디 발정난 
1,몇년만에 다시봤는데 약혼자가 불쌍하다는 생각만 들뿐 너무나도 뻔한영화. 영화도 레이첼 원맨쇼 
2,관람객사귈때 처음보고 헤어지고 또 보니 눈물이 안멈추는 영화 
1,한번 봤을땐 사랑하고 싶어졌다. 근데 두번째 약혼자 입장에서 봤을땐 눈깔이 돌아갔다. 
2,관람객제 인생영화가 되었습니다.. 
0,이러면 아름답고 쿨하니? 
2,관람객진짜 재미있었음 또 보고 싶다 여자 주인공 매력이 넘친다 
2,관람객사랑한다면이들처럼... 
2,관람객영화보면서 나도 저런사랑을 꿈꾼다...하면서 완전 감정이입하며 봤어요 달달하면서 감동적인 영화 또보고싶을정도에요^^* 
0,주인공들.. 섹x에 환장한 짐승들입니까? 제 눈엔 그냥 인간으로서의 도리를 망각한 짐승들로 보이는데...? 사람x끼라면 저렇게 떳떳하게 바람필 수 없지. 동물의 왕국이지 이건. 그리고 제일 황당한건 남녀주인공 모두 ...
1,약혼남이나 미망인이 안타깝지만 주인공들이.. 결말처럼 한때의 불장난이 아니였다는거에 이해해주고 만족할수 있는 듯. 하지만 영화 평점대비 감정선이 확 와닿는 영화는 아니였네요 
0,이거 보면서 앨리가 제 정신인가 싶더라 
0,약혼남 입장에서 보면 쓰레기 영화 
2,생각이나서 다시한번봤는데도감동이네요 집고치고 사는게 인상깊음 
2,내 인생 최고의 영화 중 하나!! 
0,여자주인공이 왠지 짜증이 나는 행동에 쪕... 
2,굳..내 밑에 있는 새끼가 안슬프다길래 반신반의 하면서 봤는데 진심 명작이다 감동과 아름다움 슬픔 교훈이 담겨있다 흔한 로맨스 영화가 아니다 보면앎 
2,관람객재개봉한 영화중 인생영화 찍은듯!! 
2,관람객아름다운영화입니다.즐거웠어요 
2,관람객정말 감동적인 영화 네요 보면서 울엇어요 
2,관람객레이첼 맥아담스의 매력을 만프로 느껴보시길... 
2,관람객첫사랑같은 영화 노트북 다시봐도 감동이였어요 
2,관람객인생영화 등극~!~!~! 
1,관람객둘은 로맨스인데 버려진 사람들은?? 
2,이거보고 사랑을찾아 학교 자퇴했는데 ㅆㅅㅌㅊ인 부분인가요?... 
2,정말 최고의 사랑 영화잊을 수 없는 스토리 
0,진짜 별로 진심 사람들이 다 인생영화라 해서 기대 엄청 하고 봤었는데 걍 불륜 미화 영화였음 영화 좋아하는 편인데 이 영화는 3일인가 4일 걸려서 다 봄.. 이 영화가 대체 왜 인생영화이지? 진짜 이해 안 감 
2,내인생 최고의영화....이영화를보면 나도이런사랑을하고싶다는 생각이...누구나 죽기전에 해보고픈 사랑이아닐까? 
2,"관람객랩탑 노트북인줄만알고 있었는데, 감명깊게 봤습니다. 재미와 감동이 있습니다.불륜이니어쩌고하는분들이 있는데 영화있는그대로 봐주시길 바랍니다. "
0,보지마 이따위 영화 ㅉㅉㅉㅉ 스포일러 마구 해야지 ㅉㅉㅉ 이딴거 왜 또 개봉하는거니??? 중3때 영화보면서 유일하게 졸았던 영화~~~~ 개노잼 그자체 다만 마지막에 결국 저러다가 둘이 결혼하고 나이들어 주인공이 할배...
2,개봉한지는 좀 된 영화지만...참 감동있고 재미있게 잘 만든 영화. 스토리는 평범하다 할수도 있겠지만 노후 치매환자에게 일기형식으로 전개를 하니 또 색다른 맛이 있다. 또한 아름다운해피엔딩 또한 깔끔하고 여운이 오래...
2,관람객인생 최고의 영화... 평점이 무의미 
2,관람객앨리의 웃음이 너무 순수하게 행복해보여서 다시 찾게되는 영화 
2,관람객인생영화 인생영화 인생영화 왜 이걸 지금봤지 
2,영화를 보는 순간에는  아내와 평생 행복하게 살고 같이 죽어야지 생각하는데   영화끝나고 와이프를 보니  혼자 있고 싶네요.  잔소리하는 아내가 미워요. 
2,인생에서 큰 선택과 삶과 죽음에 대해서도 생각하게 한다. 젊은 날은 아름답고 이토록 빛나는 사랑이 있어 더 아름답구나. 미치도록 사랑하세요 여러분. 젊음은 길지 않네요. 
2,사랑하려고 태어난 두사람의 이야기.. 
2,재개봉해주세요 제발 ㅠㅠ 
2,"결혼이고 연애고 간에, 나는 그저 진실한 사랑을 하고 싶다. "
2,평에 주인공 욕하시는 분들 보면 뭔가 성격이 아닌건 무조건 아닌 거고..융통성 없는 독한 성격을 소유하고 있을  것 같음..편지가 헤어짐을 결정하는 요소였는데..전달 안된 과정을 본다면..앨리의 결정이 이해가 되던데...
2,눈물을 한바닥 쏟게 만든 내 인생 최고의 멜로영화!!! 
0,앨리는 툭하면 노아 싸대기 때린다 
1,엄청난 영화는 아니고 맥아담스의 풋풋한 모습을 보고 싶다면 만족스러운 영화입니다 큰 기대는 하지 마세요 
0,"그렇게 좋은영화는 아닌듯.... 감동도 로맨스도 미국 어메리칸 개방적인 스타일 이라지만 이해하고 싶어도 이해 할 수 없는 영화... 막장드라마 보듯이 봤고, 마지막 장면은 실화를 다룬거라는 것을 알았을 때 가슴이 살..."
2,첫 장면에서 이 영화의  의미를 다 보여 주는 감독의 영상 연출?그리고 사랑이란 바로....이런거다 를  알게 하는  영화 
2,말로 표현할수 있을까.... 이만한 로멘스 영화는 본적이 없다 
